"","Year","Title","Journal","QScimago","IF2010","IF2011","IF2012","IF2013","IF2014","IF2015","IF2016","IF2017","IF2018","IF2019","IF2020","IF2021","IF2022","Impact.Factor","IF"
"91",2019,"Agilité et conception de filière : le cas de la montre SWATCH","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"92",2019,"Innovation Agile : Regards Pluridisciplinaires,Agile Innovation: Multidisciplinary Approaches","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"93",2019,"Innovation Spaces in Universities: Support for Collaborative Learning","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"94",2019,"Le caractère dynamique et évolutif de la notion d’innovation : Quelles conséquences pour l’évaluation de la capacité à innover des entreprises ?","technologie et innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"95",2019,"Living lab as a support to trust for co-creation of value: application to the consumer energy market","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"96",2019,"Agility and product supply chain design: The case of the Swatch","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"97",2018,"A new framework to support Lean Six Sigma deployment in SMEs","international journal of lean six sigma","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.511,3.329,5.686,4,NA,"No FI"
"98",2018,"Numerical method for nonlinear complex eigenvalues problems depending on two parameters: Application to three-layered viscoelastic composite structures","mechanics of advanced materials and structures","Q2",0.734,0.926,0.701,0.664,0.773,1,1.196,2.645,2.873,3.517,4.03,3.338,2.8,2.873,"Avec FI"
"99",2018,"A system dynamics approach for sustainability assessment of biodiesel production in Colombia. Baseline simulation","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,6.395,"Avec FI"
"100",2018,"Trends in design of distributed energy systems using hydrogen as energy vector: A systematic literature review","international journal of hydrogen energy","Q1",4.057,4.054,3.548,2.93,3.313,3.205,3.582,4.229,4.084,4.939,5.816,7.139,7.2,4.084,"Avec FI"
"101",2018,"Multi-objective traffic signal optimization using 3D mesoscopic simulation and evolutionary algorithms","simulation modelling practice and theory","Q1",0.736,0.969,1.159,1.05,1.383,1.482,1.954,2.092,2.426,2.219,3.272,4.199,4.2,2.426,"Avec FI"
"102",2018,"Incorporation of Heuristic Knowledge in the Optimal Design of Formulated Products: Application to a Cosmetic Emulsion","computers & chemical engineering",NA,2.072,2.32,2.091,2.452,2.784,2.581,3.024,3.113,3.334,4,3.845,4.13,4.3,3.334,"Avec FI"
"103",2018,"Une approche de conception de systèmes multi-agents dédiés à la gestion des connaissances","revue des sciences et technologies de l'information - série isi : ingénierie des systèmes d'information",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"104",2018,"Firm Readiness Level for Innovation Projects: A New Decision-Making Tool for Innovation Managers","international review of administrative sciences","Q1",0.848,0.783,0.559,0.765,0.658,0.716,1.35,1.988,2.174,2.129,3.094,2.397,2.3,2.174,"Avec FI"
"105",2018,"Contribution to the objective assessment of technical skills for surgery students: An accelerometer based approach","international journal of industrial ergonomics","Q2",1.322,1.26,1.208,1.214,1.07,1,1.415,1.429,1.571,1.662,2.656,2.884,3.1,1.571,"Avec FI"
"106",2018,"L’indice d’innovation potentielle (IIP) : un diagnostic de la capacité à innover au service des PME","revue internationale pme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"107",2018,"Vers une meilleure compréhension du concept de design,Towards a Better Understanding of the Concept of Design,Hacia una mejor comprensión del concepto de diseño","projectics / proyéctica / projectique",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"108",2018,"Predicting Air Quality by Integrating a Mesoscopic Traffic Simulation Model and Simplified Air Pollutant Estimation Models","international journal of intelligent transportation systems research","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"109",2017,"Modeling and optimization of a photocatalytic process: Degradation of endocrine disruptor compounds by Ag/ZnO","chemical engineering research & design","Q2",1.519,1.968,1.927,2.281,2.348,2.525,2.538,2.795,3.073,3.35,3.739,4.119,3.9,2.795,"Avec FI"
"110",2017,"The first ROBAFIS-ROBSE international student competition in Systems Engineering","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"111",2017,"Overview of phenomena occurring in supply chains during the emergence of innovation","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"112",2017,"Exploring Mixed-methods Instruments for Performance Evaluation of Immersive Collaborative Environments","international journal of virtual reality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"113",2017,"Modeling and design optimization of a robot gripper mechanism","robotics and computer-integrated manufacturing","Q1",1.254,1.173,1.23,1.839,2.305,2.077,2.846,3.464,4.392,5.057,5.666,10.103,10.4,3.464,"Avec FI"
"114",2017,"A new fuzzy logic-based metric to measure lean warehousing performance","supply chain forum: an international journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"115",2017,"The effect of learning approaches on the utilization of external knowledge in strategic alliances","industrial marketing management","Q1",1.694,1.53,1.933,1.897,1.82,1.93,3.166,3.678,4.779,4.695,6.96,8.89,10.3,3.678,"Avec FI"
"116",2017,"Key challenges and requirements for sustainable and industrialized biorefinery supply chain design and management: A bibliographic analysis","renewable & sustainable energy reviews","Q1",4.595,6.018,5.627,5.51,5.901,6.798,8.05,9.184,10.556,12.11,14.982,16.799,15.9,9.184,"Avec FI"
"117",2017,"Polymer recycling in an open-source additive manufacturing context: Mechanical issues","additive manufacturing","Q1",NA,NA,NA,NA,NA,NA,NA,NA,7.173,7.002,10.998,11.632,11,NA,"No FI"
"118",2017,"Sustainability assessment to support governmental biodiesel policy in Colombia: A system dynamics model","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,5.651,"Avec FI"
"119",2016,"Frugal Innovation or Frugal Renovation: How can Western Designers adopt Frugal Engineering?","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"120",2016,"Biodiesel-triple bottom line (TBL): A new hierarchical sustainability assessment framework of principles criteria & indicators (PC&I) for biodiesel production. Part II-validation","ecological indicators","Q1",2.967,2.695,2.89,3.23,3.444,3.19,3.898,3.983,4.49,4.229,4.958,6.263,6.9,3.898,"Avec FI"
"121",2016,"Creativity support systems: A systematic mapping study","thinking skills and creativity","Q1",1.708,0.875,1.033,1.455,1.461,1.022,1.589,1.333,1.655,2.068,3.106,3.652,3.7,1.589,"Avec FI"
"122",2016,"Multi-criteria decision analysis for the selection of sustainable chemical process routes during early design stages","chemical engineering research & design","Q2",1.519,1.968,1.927,2.281,2.348,2.525,2.538,2.795,3.073,3.35,3.739,4.119,3.9,2.538,"Avec FI"
"123",2016,"Sensitivity analysis of the damping properties of viscoelastic composite structures according to the layers thicknesses","composite structures","Q1",2.036,2.24,2.231,3.12,3.318,3.853,3.858,4.101,4.829,5.138,5.407,6.603,6.3,3.858,"Avec FI"
"124",2016,"Operational and system hazard analysis in a safe systems requirement engineering process – Application to automotive industry","safety science","Q1",1.637,1.402,1.359,1.672,1.831,2.157,2.246,2.835,3.619,4.105,4.877,6.392,6.1,2.246,"Avec FI"
"125",2016,"An acceptability estimation and analysis methodology based on Bayesian networks","international journal of industrial ergonomics","Q2",1.322,1.26,1.208,1.214,1.07,1,1.415,1.429,1.571,1.662,2.656,2.884,3.1,1.415,"Avec FI"
"126",2016,"SMEs’ Innovation and Export Capabilities: Identification and Characterization of a Common Space Using Data Spatialization","journal of technology management and innovation","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"127",2016,"Improving the idea selection process in creative workshops through contextualisation","journal of cleaner production","Q1",2.43,2.727,3.398,3.59,3.844,4.959,5.715,5.651,6.395,7.246,9.297,11.072,11.1,5.715,"Avec FI"
"128",2016,"From descriptive customer data to need definition: a formalised approach","international journal of product development","Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"129",2016,"Cost and efficiency assessment during deep energy refurbishment strategies: A case-study-based methodology","international journal of energy, environment, economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"130",2016,"Improving users' product acceptability: an approach based on Bayesian networks and a simulated annealing algorithm","international journal of production research","Q1",1.033,1.115,1.46,1.323,1.477,1.693,2.325,2.623,3.199,4.577,8.568,9.018,9.2,2.325,"Avec FI"
"131",2016,"Biodiesel-TBL plus : A new hierarchical sustainability assessment framework of PC&I for biodiesel production - Part I","ecological indicators","Q1",2.967,2.695,2.89,3.23,3.444,3.19,3.898,3.983,4.49,4.229,4.958,6.263,6.9,3.898,"Avec FI"
"132",2016,"Vibration modeling of large repetitive sandwich structures with viscoelastic core","mechanics of advanced materials and structures","Q2",0.734,0.926,0.701,0.664,0.773,1,1.196,2.645,2.873,3.517,4.03,3.338,2.8,1.196,"Avec FI"
"133",2015,"Editorial of INSIGHT Special Issue: AFIS Doctoral Symposium: Advancing Systems Analysis and Modeling in French Universities","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"134",2015,"Reverse logistics network design for a biogas plant: An approach based on MILP optimization and Analytical Hierarchical Process (AHP)","journal of manufacturing systems","Q1",0.194,0.639,1.07,1.847,1.682,2.24,2.77,3.699,3.642,5.105,8.633,9.498,12.1,2.24,"Avec FI"
"135",2015,"An organizational approach to designing an intelligent knowledge-based system: Application to the decision-making process in design projects","advanced engineering informatics","Q1",1.4,1.489,1.593,2.068,1.627,2,2.68,3.358,3.772,3.879,5.603,7.862,8.8,2,"Avec FI"
"136",2015,"Vibration Modeling of Multilayer Composite Structures with Viscoelastic Layers","mechanics of advanced materials and structures","Q2",0.734,0.926,0.701,0.664,0.773,1,1.196,2.645,2.873,3.517,4.03,3.338,2.8,1,"Avec FI"
"137",2015,"Supporting SMEs' IP capabilities: Impact study of INPI pre-diagnosis through the use of the AIDA approach","world patent information","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"138",2015,"A meta-model for knowledge configuration management to support collaborative engineering","computers in industry","Q1",1.62,1.529,1.709,1.457,1.287,1.685,2.691,2.85,4.769,3.954,7.635,11.245,10,1.685,"Avec FI"
"139",2015,"Innovative public-private partnership to support Smart City: the case of “Chaire REVES”","journal of strategy and management","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"140",2015,"A New Catalytic System for the Photo degradation of Endocrinal Disruptors: Synthesis and Efficiency Modeling and Optimization","chemical engineering transactions","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"141",2014,"Enhancing experience reuse and learning","knowledge-based systems","Q1",1.574,2.422,4.104,3.058,2.947,3.325,4.529,4.396,5.101,5.921,8.038,8.139,8.8,2.947,"Avec FI"
"142",2014,"An agent-based system to build project memories during engineering projects","knowledge-based systems","Q1",1.574,2.422,4.104,3.058,2.947,3.325,4.529,4.396,5.101,5.921,8.038,8.139,8.8,2.947,"Avec FI"
"143",2014,"Low-Molecular-Weight Glycerol Esters as Plasticizers for Poly(vinyl chloride)","journal of vinyl and additive technology","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"144",2014,"Multicriteria optimization of production conditions for a new phthalate-free PVC plasticizer","journal of industrial and engineering chemistry","Q1",2.149,1.977,2.145,2.063,3.512,4.179,4.421,4.841,4.978,5.278,6.064,6.76,6.1,3.512,"Avec FI"
"145",2014,"A fuzzy integral based methodology to elicit semantic spaces in usability tests","international journal of industrial ergonomics","Q2",1.322,1.26,1.208,1.214,1.07,1,1.415,1.429,1.571,1.662,2.656,2.884,3.1,1.07,"Avec FI"
"146",2014,"A methodology for the development of innovation clusters: application in the health care sector","international journal of innovation and technology management","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"147",2014,"Evaluating innovative processes in french firms: Methodologicalproposition for firm innovation capacity evaluation","research policy","Q1",2.508,2.52,2.85,2.598,3.117,3.47,4.495,4.661,5.425,5.351,8.11,9.473,7.2,3.117,"Avec FI"
"148",2014,"Monitoring of technology transfer projects in industrial clusters","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"149",2014,"Well-suited organization to open innovation: empirical evidence from an industrial deployment","journal of innovation economics & management",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"150",2014,"Transition industrielle vers des offres intégrées "" produits/services","revue française de gestion industrielle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"151",2014,"Towards a standard experimental protocol for open source additive manufacturing","virtual and physical prototyping","Q1",NA,NA,NA,NA,NA,NA,NA,NA,6.825,7.31,8.092,10.962,10.6,NA,"No FI"
"152",2014,"Design of a Single DOF Gripper based on Four-bar and Slider-crank Mechanism for Educational Purposes","procedia cirp","-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"153",2014,"A Multi Agent System to Manage Ideas during Collaborative Creativity Workshops","international journal of future computer and communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"154",2013,"PII- Potential Innovation Index: a tool to benchmark innovation capabilities in international context.","journal of technology management & innovation",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"155",2013,"Towards a safe systems engineering","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"156",2013,"Biodiesel production in a counter-current reactive extraction column: modelling\, parametric identification and optimisation","chemical engineering journal","Q1",3.074,3.461,3.473,4.058,4.321,5.31,6.216,6.735,8.355,10.652,13.273,16.744,15.1,4.058,"Avec FI"
"157",2013,"Spécification d'exigences physico-physiologiques d'interaction homme-machine en ingénierie système","génie logiciel : le magazine de l'ingénierie du logiciel et des systèmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"158",2013,"A situation model to support awareness in collaborative design","international journal of human-computer studies",NA,1.6,1.171,1.415,1.165,1.293,1.476,2.863,2.3,2.006,3.163,3.632,4.866,5.4,1.165,"Avec FI"
"159",2013,"Complex data structures in product design: a sequential approach to elicit customer perceptions","international journal of advanced operations management","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"160",2013,"Multicriteria Analysis and Case‐Based Reasoning: Applications to the Training of Young Doctors in the Context of Breast Mammogram","inimpact : the journal of innovation impact",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"161",2013,"Automatic solver for non-linear partial differential equations with implicit local laws: Application to unilateral contact","international journal for numerical methods in engineering","Q1",1.928,2.009,2.068,1.961,2.055,2.1,2.162,2.589,2.746,2.866,3.477,3.021,2.9,1.961,"Avec FI"
"162",2013,"Barriers as determinants of innovation in Morocco: The case of Tangier Tetouan region,Les barrières comme déterminants de l'innovation au Maroc: Cas de la région de Tanger-Tétouan","international journal of innovation and applied studies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"163",2013,"How to implement abstract design paradigm? The Case of requirements engineering","international journal of product development","Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"164",2013,"Functional economy: pertinence of principles for an energy efficiency program","international journal of energy, environment, economics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"165",2013,"Methodology To Predict PVC Plasticization Using Molecular Simulation by Pairs","industrial and engineering chemistry research",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"166",2013,"Unification of the a priori inconsistencies checking among assembly constraints in assembly sequence planning.","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,1.779,"Avec FI"
"167",2013,"Emulsion copolymerization of styrene and butyl acrylate in the presence of a chain transfer agent. Part 2: Parameters estimability and confidence regions","chemical engineering science","Q1",2.379,2.431,2.386,2.613,2.337,2.75,2.895,3.306,3.372,3.871,4.311,4.889,4.7,2.613,"Avec FI"
"168",2012,"Studying the Implications and Impact of Smartphones on Self-Directed Learning Under a Living Lab Approach","international journal of product development","Q4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"169",2012,"Improving performance evaluation metrics to manage innovative projects","international journal of technology intelligence and planning","Q3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"170",2012,"Enriching descriptive information in ranking and sorting problems with visualizations techniques","journal of modelling in management","Q2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"171",2012,"From urban concept to urban engineering: The contribution of distributed collaborative design to the management of urban projects","journal of urban design","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"172",2012,"A priori checking inconsistencies among strategic constraints for assembly plan generation.","international journal of advanced manufacturing technology","Q1",1.071,1.103,1.205,1.779,1.458,1.568,2.209,2.601,2.496,2.633,3.226,3.563,3.4,1.205,"Avec FI"
"173",2012,"The Human side of organizational change : improving appropriation of project evolutions","international journal of projectics",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"174",2012,"Design and Multicriteria Optimization of a Two-Stage Reactive Extrusion Process for the Synthesis of Thermoplastic Polyurethanes","engineering","Q1",NA,NA,NA,NA,NA,NA,NA,2.667,4.568,6.495,7.553,12.834,12.8,NA,"No FI"
"175",2012,"Design and Multicriteria Optimization of a Two-Stage Reactive Extrusion Process for the Synthesis of Thermoplastic Polyurethanes","engineering","Q4",NA,NA,NA,NA,NA,NA,NA,2.667,4.568,6.495,7.553,12.834,12.8,NA,"No FI"
"176",2012,"A framework for measuring logistics performance in the wine industry","international journal of production economics","Q1",1.988,1.76,2.081,NA,2.752,2.782,3.493,4.407,4.998,5.134,7.885,11.251,12,2.081,"Avec FI"
"177",2012,"Object-oriented design to automate a high order non-linear solver based on asymptotic numerical method","advances in engineering software","Q1",1.004,1.092,1.22,1.422,1.402,1.673,3,3.198,4.194,3.884,4.141,4.255,4.8,1.22,"Avec FI"
"178",2012,"An application of multi-criteria decision aids models for Case-Based Reasoning","information sciences","Q1",2.836,2.833,3.643,3.893,4.038,3.364,4.832,4.305,5.524,5.91,6.795,8.233,8.1,3.643,"Avec FI"
"179",2012,"How a semantic Wiki can support the ideas development in innovation activities","lecture notes of the institute for computer sciences, social-informatics and telecommunications engineering, lnicst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"180",2011,"A student challenge in systems engineering: RobAFIS 2010","insight - international council on systems engineering (incose)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"181",2011,"A reference framework following a proactive approach for Product Lifecycle Management","computers in industry","Q1",1.62,1.529,1.709,1.457,1.287,1.685,2.691,2.85,4.769,3.954,7.635,11.245,10,1.529,"Avec FI"
"182",2011,"Development of new concepts for the control of polymerization processes: Multiobjective optimization and decision engineering. II. Application of a Choquet integral to an emulsion copolymerization process","journal of applied polymer science","Q2",1.24,1.289,1.395,1.64,1.768,1.866,1.86,1.901,2.188,2.52,3.125,3.057,3,1.289,"Avec FI"
"183",2011,"Attractive quality for requirement assessment during the front‐end of innovation","the tqm journal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
"184",2011,"Attractive quality for requirement assessment during the front‐end of innovation","tqm journal","Q1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No FI"
